node,adc_id,country,probability
515208,ID-RI,ID,1
522411,ID-RI,ID,1
516651,ID-RI,ID,1
513772,ID-RI,ID,1
523848,ID-RI,ID,1
520967,ID-RI,ID,1
520965,ID-RI,ID,1
515211,ID-RI,ID,1
532482,ID-RI,ID,1
520963,ID-RI,ID,1
522406,ID-RI,ID,1
518086,ID-RI,ID,1
513770,ID-RI,ID,1
522407,ID-RI,ID,1
520970,ID-RI,ID,1
518085,ID-RI,ID,1
516646,ID-RI,ID,1
515215,ID-RI,ID,1
519535,ID-RI,ID,1
523842,ID-RI,ID,1
515206,ID-RI,ID,1
515212,ID-RI,ID,1
531047,ID-RI,ID,1
520962,ID-RI,ID,1
526728,ID-RI,ID,1
513769,ID-RI,ID,1
518089,ID-RI,ID,1
515209,ID-RI,ID,1
526727,ID-RI,ID,1
519534,ID-RI,ID,1
519533,ID-RI,ID,1
526726,ID-RI,ID,1
526722,ID-RI,ID,1
526730,ID-RI,ID,1
532484,ID-RI,ID,1
525286,ID-RI,ID,1
525293,ID-RI,ID,1
525290,ID-RI,ID,1
523844,ID-RI,ID,1
518087,ID-RI,ID,1
515213,ID-RI,ID,1
525292,ID-RI,ID,1
518095,ID-RI,ID,1
518092,ID-RI,ID,1
520972,ID-RI,ID,1
522410,ID-RI,ID,1
531042,ID-RI,ID,1
523846,ID-RI,ID,1
523845,ID-RI,ID,1
525282,ID-RI,ID,1
522402,ID-RI,ID,1
516650,ID-RI,ID,1
520968,ID-RI,ID,1
516655,ID-RI,ID,1
518090,ID-RI,ID,1
518084,ID-RI,ID,1
526731,ID-RI,ID,1
531043,ID-RI,ID,1
522409,ID-RI,ID,1
520971,ID-RI,ID,1
525285,ID-RI,ID,1
519531,ID-RI,ID,1
515214,ID-RI,ID,1
519527,ID-RI,ID,1
531048,ID-RI,ID,1
515207,ID-RI,ID,1
513771,ID-RI,ID,1
516656,ID-RI,ID,1
532485,ID-RI,ID,1
519528,ID-RI,ID,1
526724,ID-RI,ID,1
519529,ID-RI,ID,1
520966,ID-RI,ID,1
522404,ID-RI,ID,1
522408,ID-RI,ID,1
520975,ID-RI,ID,1
531045,ID-RI,ID,1
519530,ID-RI,ID,1
519532,ID-RI,ID,1
518093,ID-RI,ID,1
513767,ID-RI,ID,1
516649,ID-RI,ID,1
528167,ID-RI,ID,1
528164,ID-RI,ID,1
518088,ID-RI,ID,1
516645,ID-RI,ID,1
525287,ID-RI,ID,1
523852,ID-RI,ID,1
528168,ID-RI,ID,1
528163,ID-RI,ID,1
526729,ID-RI,ID,1
518096,ID-RI,ID,1
523849,ID-RI,ID,1
516647,ID-RI,ID,1
529603,ID-RI,ID,1
523851,ID-RI,ID,1
523847,ID-RI,ID,1
528166,ID-RI,ID,1
528169,ID-RI,ID,1
516652,ID-RI,ID,1
515210,ID-RI,ID,1
516653,ID-RI,ID,1
520969,ID-RI,ID,1
519525,ID-RI,ID,1
522412,ID-RI,ID,1
525283,ID-RI,ID,1
519524,ID-RI,ID,1
513768,ID-RI,ID,1
529608,ID-RI,ID,1
516648,ID-RI,ID,1
520973,ID-RI,ID,1
519526,ID-RI,ID,1
528170,ID-RI,ID,1
529604,ID-RI,ID,1
518091,ID-RI,ID,1
531044,ID-RI,ID,1
522405,ID-RI,ID,1
519536,ID-RI,ID,1
518094,ID-RI,ID,1
520974,ID-RI,ID,1
526725,ID-RI,ID,1
522403,ID-RI,ID,1
525289,ID-RI,ID,1
520964,ID-RI,ID,1
526721,ID-RI,ID,1
529605,ID-RI,ID,1
525284,ID-RI,ID,1
523853,ID-RI,ID,1
529602,ID-RI,ID,1
523843,ID-RI,ID,1
526723,ID-RI,ID,1
525288,ID-RI,ID,1
529607,ID-RI,ID,1
528165,ID-RI,ID,1
